"probSolving01","probSolving02","probSolving03","fin_strain01","fin_strain02","fin_strain03","w5_SE_quit","SE_start_recode","age","gender","edu","coded_country_num","w5_SE_employees_dich","coded_country","fin_strain","probSolving","age_labeled","region"
5,5,5,1,1,1,-3,50,6,2,5,26,1,"South Africa",1,5,"65-75","Africa"
4,3,3,-1,1,-2,-2,31,6,2,6,33,0,"United States of America",-0.666666666666667,3.33333333333333,"65-75","Northern America, Australia & New Zealand"
4,4,4,-2,0,-2,-3,4,6,1,2,33,0,"United States of America",-1.33333333333333,4,"65-75","Northern America, Australia & New Zealand"
4,3,3,1,1,0,0,3,3,1,4,10,0,"France",0.666666666666667,3.33333333333333,"35-44","Europe"
4,4,3,-1,-1,-2,-2,4,4,1,4,26,0,"South Africa",-1.33333333333333,3.66666666666667,"45-54","Africa"
5,5,5,-2,-2,-2,-2,4,3,1,2,33,0,"United States of America",-2,5,"35-44","Northern America, Australia & New Zealand"
3,3,4,2,2,0,0,10,5,2,3,32,0,"United Kingdom",1.33333333333333,3.33333333333333,"55-64","Europe"
5,5,5,0,2,0,-2,2,5,1,6,33,0,"United States of America",0.666666666666667,5,"55-64","Northern America, Australia & New Zealand"
5,4,5,-1,0,-2,-3,48,6,2,3,33,1,"United States of America",-1,4.66666666666667,"65-75","Northern America, Australia & New Zealand"
4,4,4,-1,-1,-2,1,1,2,1,5,28,1,"Thailand",-1.33333333333333,4,"25-34","Eastern & South-Eastern Asia"
5,5,4,1,1,1,-3,2,5,1,2,5,1,"Canada",1,4.66666666666667,"55-64","Northern America, Australia & New Zealand"
4,4,2,0,1,0,0,3,2,1,5,33,0,"United States of America",0.333333333333333,3.33333333333333,"25-34","Northern America, Australia & New Zealand"
2,2,2,2,2,2,1,4,4,2,2,33,0,"United States of America",2,2,"45-54","Northern America, Australia & New Zealand"
4,3,4,0,1,1,-3,0,3,1,3,32,0,"United Kingdom",0.666666666666667,3.66666666666667,"35-44","Europe"
3,3,4,-1,1,-2,1,13,5,1,5,32,0,"United Kingdom",-0.666666666666667,3.33333333333333,"55-64","Europe"
5,5,5,2,2,1,3,7,5,1,4,26,1,"South Africa",1.66666666666667,5,"55-64","Africa"
5,5,5,-1,0,-1,-3,8,6,1,6,5,1,"Canada",-0.666666666666667,5,"65-75","Northern America, Australia & New Zealand"
5,5,5,2,2,2,-3,24,5,1,3,26,1,"South Africa",2,5,"55-64","Africa"
5,5,4,1,1,1,-3,4,2,2,2,26,1,"South Africa",1,4.66666666666667,"25-34","Africa"
5,4,5,2,2,2,0,30,4,1,4,33,0,"United States of America",2,4.66666666666667,"45-54","Northern America, Australia & New Zealand"
5,4,4,2,1,1,-3,54,6,1,4,26,1,"South Africa",1.33333333333333,4.33333333333333,"65-75","Africa"
3,3,3,1,-1,-1,-3,2,2,1,4,33,0,"United States of America",-0.333333333333333,3,"25-34","Northern America, Australia & New Zealand"
4,4,4,1,1,1,-2,11,7,2,2,26,0,"South Africa",1,4,"75-85","Africa"
3,4,4,1,1,1,-2,15,3,1,5,26,1,"South Africa",1,3.66666666666667,"35-44","Africa"
4,4,4,0,-1,-1,-3,6,5,2,6,26,0,"South Africa",-0.666666666666667,4,"55-64","Africa"
4,3,4,2,2,2,1,3,4,1,2,33,1,"United States of America",2,3.66666666666667,"45-54","Northern America, Australia & New Zealand"
4,3,4,0,2,0,-1,1,4,1,6,32,0,"United Kingdom",0.666666666666667,3.66666666666667,"45-54","Europe"
4,3,3,1,1,1,-3,5,3,2,1,33,1,"United States of America",1,3.33333333333333,"35-44","Northern America, Australia & New Zealand"
4,4,4,2,2,1,-2,24,5,1,5,33,1,"United States of America",1.66666666666667,4,"55-64","Northern America, Australia & New Zealand"
4,4,4,-1,0,-1,-3,1,5,2,5,19,0,"Malaysia",-0.666666666666667,4,"55-64","Eastern & South-Eastern Asia"
5,5,5,2,2,2,1,17,3,2,5,26,1,"South Africa",2,5,"35-44","Africa"
3,3,3,1,1,0,0,12,6,2,5,27,1,"Spain",0.666666666666667,3,"65-75","Europe"
4,4,4,-2,-2,-2,-3,20,6,1,4,3,0,"Australia",-2,4,"65-75","Northern America, Australia & New Zealand"
1,1,1,1,2,-1,0,11,6,2,5,3,0,"Australia",0.666666666666667,1,"65-75","Northern America, Australia & New Zealand"
5,5,5,0,1,-1,2,3,3,1,5,33,0,"United States of America",0,5,"35-44","Northern America, Australia & New Zealand"
4,4,3,-1,-1,-2,-2,20,4,2,5,5,1,"Canada",-1.33333333333333,3.66666666666667,"45-54","Northern America, Australia & New Zealand"
4,5,2,1,2,1,0,2,2,1,5,19,1,"Malaysia",1.33333333333333,3.66666666666667,"25-34","Eastern & South-Eastern Asia"
1,1,1,0,1,-1,-3,9,3,1,6,19,0,"Malaysia",0,1,"35-44","Eastern & South-Eastern Asia"
5,5,5,0,1,-1,-3,5,5,1,2,33,0,"United States of America",0,5,"55-64","Northern America, Australia & New Zealand"
3,3,3,-1,1,0,-3,39,6,1,6,33,0,"United States of America",0,3,"65-75","Northern America, Australia & New Zealand"
4,2,4,2,2,0,0,1,3,1,4,3,0,"Australia",1.33333333333333,3.33333333333333,"35-44","Northern America, Australia & New Zealand"
5,5,4,2,2,2,-2,42,7,2,2,26,0,"South Africa",2,4.66666666666667,"75-85","Africa"
5,4,3,2,2,2,1,1,5,2,2,26,0,"South Africa",2,4,"55-64","Africa"
4,4,3,-2,-2,-2,-3,47,6,1,6,3,1,"Australia",-2,3.66666666666667,"65-75","Northern America, Australia & New Zealand"
4,3,5,1,2,1,-2,19,5,1,6,26,0,"South Africa",1.33333333333333,4,"55-64","Africa"
4,4,4,1,1,0,-2,1,5,1,2,26,0,"South Africa",0.666666666666667,4,"55-64","Africa"
4,4,4,2,2,2,-3,30,5,2,5,3,0,"Australia",2,4,"55-64","Northern America, Australia & New Zealand"
4,4,4,-1,0,-1,-3,34,6,1,2,5,0,"Canada",-0.666666666666667,4,"65-75","Northern America, Australia & New Zealand"
5,5,5,-2,2,-2,-3,10,3,1,2,5,1,"Canada",-0.666666666666667,5,"35-44","Northern America, Australia & New Zealand"
4,4,4,0,2,0,-3,29,6,1,7,18,0,"Lithuania",0.666666666666667,4,"65-75","Europe"
3,3,3,0,-1,-1,-3,0,3,1,5,19,0,"Malaysia",-0.666666666666667,3,"35-44","Eastern & South-Eastern Asia"
5,5,5,-2,1,-2,-3,15,4,2,3,5,0,"Canada",-1,5,"45-54","Northern America, Australia & New Zealand"
5,5,5,1,1,1,-3,8,3,1,4,26,0,"South Africa",1,5,"35-44","Africa"
3,3,5,1,-2,-1,-2,1,4,1,6,33,0,"United States of America",-0.666666666666667,3.66666666666667,"45-54","Northern America, Australia & New Zealand"
4,5,2,-1,1,1,-2,24,5,2,4,26,1,"South Africa",0.333333333333333,3.66666666666667,"55-64","Africa"
4,4,4,-1,1,-1,2,16,3,1,4,27,0,"Spain",-0.333333333333333,4,"35-44","Europe"
5,4,5,0,1,0,-3,30,5,2,5,2,0,"Argentina",0.333333333333333,4.66666666666667,"55-64","South & Central America"
4,4,3,0,0,0,-3,19,5,2,2,2,1,"Argentina",0,3.66666666666667,"55-64","South & Central America"
3,4,4,1,1,1,-2,20,4,1,2,2,0,"Argentina",1,3.66666666666667,"45-54","South & Central America"
3,2,3,0,1,0,-2,20,5,2,5,27,1,"Spain",0.333333333333333,2.66666666666667,"55-64","Europe"
5,5,5,1,1,1,-3,13,5,1,6,2,0,"Argentina",1,5,"55-64","South & Central America"
5,4,5,0,-1,-1,-2,5,4,1,5,27,0,"Spain",-0.666666666666667,4.66666666666667,"45-54","Europe"
5,4,4,2,2,2,-3,23,6,1,5,2,0,"Argentina",2,4.33333333333333,"65-75","South & Central America"
4,4,4,-2,-2,-2,-3,9,4,1,6,27,0,"Spain",-2,4,"45-54","Europe"
5,4,5,0,2,1,1,11,6,2,5,2,0,"Argentina",1,4.66666666666667,"65-75","South & Central America"
3,4,5,1,1,1,-2,10,6,2,3,2,0,"Argentina",1,4,"65-75","South & Central America"
4,4,3,2,1,1,-1,0,2,1,5,6,0,"Colombia",1.33333333333333,3.66666666666667,"25-34","South & Central America"
5,4,4,-1,1,0,-2,12,3,1,6,2,0,"Argentina",0,4.33333333333333,"35-44","South & Central America"
4,5,4,1,1,1,0,5,5,2,2,27,0,"Spain",1,4.33333333333333,"55-64","Europe"
4,4,4,1,0,0,-2,5,4,2,5,27,0,"Spain",0.333333333333333,4,"45-54","Europe"
4,4,4,1,0,-1,-2,11,3,2,4,2,0,"Argentina",0,4,"35-44","South & Central America"
5,5,5,1,2,1,-3,6,5,2,4,27,1,"Spain",1.33333333333333,5,"55-64","Europe"
4,3,4,1,1,1,-3,2,2,1,6,27,1,"Spain",1,3.66666666666667,"25-34","Europe"
4,3,3,-1,1,-1,-3,22,6,2,3,27,0,"Spain",-0.333333333333333,3.33333333333333,"65-75","Europe"
4,4,5,0,2,1,-3,26,5,2,7,2,1,"Argentina",1,4.33333333333333,"55-64","South & Central America"
5,2,5,0,2,0,0,14,5,1,5,27,1,"Spain",0.666666666666667,4,"55-64","Europe"
5,5,5,-2,2,-2,1,1,3,1,6,27,0,"Spain",-0.666666666666667,5,"35-44","Europe"
4,3,4,-1,0,-1,-3,49,6,2,3,10,0,"France",-0.666666666666667,3.66666666666667,"65-75","Europe"
3,4,4,1,1,2,3,10,3,2,5,1,1,"Algeria",1.33333333333333,3.66666666666667,"35-44","Africa"
5,1,4,-1,-2,-2,-3,3,5,2,6,10,0,"France",-1.66666666666667,3.33333333333333,"55-64","Europe"
4,5,5,-2,-2,-2,-3,42,5,1,6,10,0,"France",-2,4.66666666666667,"55-64","Europe"
5,2,5,-1,1,0,-3,2,3,2,6,10,0,"France",0,4,"35-44","Europe"
4,3,4,-1,-2,-2,-2,3,2,1,6,8,0,"Croatia",-1.66666666666667,3.66666666666667,"25-34","Europe"
4,2,5,0,1,0,1,1,2,1,6,8,1,"Croatia",0.333333333333333,3.66666666666667,"25-34","Europe"
4,3,5,-1,1,2,-2,1,2,2,2,13,0,"Hungary",0.666666666666667,4,"25-34","Europe"
4,4,4,-2,1,-2,-3,9,2,1,7,13,0,"Hungary",-1,4,"25-34","Europe"
5,1,5,1,2,1,1,4,1,2,3,14,1,"Indonesia",1.33333333333333,3.66666666666667,"18-24","Eastern & South-Eastern Asia"
4,3,3,-1,1,0,1,2,2,2,5,14,1,"Indonesia",0,3.33333333333333,"25-34","Eastern & South-Eastern Asia"
2,2,3,-2,-1,-2,-3,34,5,2,4,15,0,"Italy",-1.66666666666667,2.33333333333333,"55-64","Europe"
4,4,4,-1,2,0,-3,2,2,1,6,15,0,"Italy",0.333333333333333,4,"25-34","Europe"
2,1,1,0,1,0,-3,4,4,1,4,15,1,"Italy",0.333333333333333,1.33333333333333,"45-54","Europe"
5,5,5,0,1,0,-3,12,3,1,6,15,0,"Italy",0.333333333333333,5,"35-44","Europe"
5,4,5,0,2,0,-3,37,6,2,6,15,1,"Italy",0.666666666666667,4.66666666666667,"65-75","Europe"
5,4,4,-1,0,-1,-2,40,6,2,5,15,1,"Italy",-0.666666666666667,4.33333333333333,"65-75","Europe"
3,3,3,2,1,1,0,10,5,1,6,15,0,"Italy",1.33333333333333,3,"55-64","Europe"
5,5,5,1,1,1,-3,6,5,1,4,15,0,"Italy",1,5,"55-64","Europe"
3,3,3,1,1,1,0,16,5,2,4,15,0,"Italy",1,3,"55-64","Europe"
3,3,3,0,0,-1,3,13,3,1,6,15,0,"Italy",-0.333333333333333,3,"35-44","Europe"
5,5,4,0,1,0,1,44,6,2,6,15,1,"Italy",0.333333333333333,4.66666666666667,"65-75","Europe"
4,4,4,1,1,1,1,13,3,2,4,15,1,"Italy",1,4,"35-44","Europe"
5,5,5,2,2,2,-2,15,5,2,3,15,0,"Italy",2,5,"55-64","Europe"
5,5,5,-2,-1,-2,-3,18,2,2,4,15,1,"Italy",-1.66666666666667,5,"25-34","Europe"
4,5,4,1,1,1,-3,1,4,1,4,15,0,"Italy",1,4.33333333333333,"45-54","Europe"
4,4,4,1,1,1,-3,36,5,2,4,15,0,"Italy",1,4,"55-64","Europe"
5,5,5,1,1,0,-3,36,6,2,7,15,0,"Italy",0.666666666666667,5,"65-75","Europe"
3,4,4,1,2,1,1,1,2,2,6,18,0,"Lithuania",1.33333333333333,3.66666666666667,"25-34","Europe"
4,4,4,-2,0,-2,-2,4,3,2,6,15,0,"Italy",-1.33333333333333,4,"35-44","Europe"
3,3,3,1,1,-1,-2,12,4,1,7,15,1,"Italy",0.333333333333333,3,"45-54","Europe"
4,3,4,0,1,-1,3,8,4,2,2,15,0,"Italy",0,3.66666666666667,"45-54","Europe"
3,3,3,-1,1,0,0,19,4,1,6,15,0,"Italy",0,3,"45-54","Europe"
4,3,5,2,2,2,1,33,5,2,4,15,0,"Italy",2,4,"55-64","Europe"
2,2,2,0,1,-1,-2,22,5,2,5,16,1,"Japan",0,2,"55-64","Eastern & South-Eastern Asia"
4,4,4,-1,0,-1,-2,17,7,2,5,16,1,"Japan",-0.666666666666667,4,"75-85","Eastern & South-Eastern Asia"
3,1,3,1,1,-1,-1,41,6,2,5,16,1,"Japan",0.333333333333333,2.33333333333333,"65-75","Eastern & South-Eastern Asia"
3,2,3,0,0,0,0,8,5,2,5,16,1,"Japan",0,2.66666666666667,"55-64","Eastern & South-Eastern Asia"
4,4,5,1,2,1,0,11,3,2,5,19,0,"Malaysia",1.33333333333333,4.33333333333333,"35-44","Eastern & South-Eastern Asia"
2,2,2,0,1,0,0,3,5,2,2,19,1,"Malaysia",0.333333333333333,2,"55-64","Eastern & South-Eastern Asia"
5,5,4,-1,1,-1,-1,3,2,1,6,20,1,"Netherlands",-0.333333333333333,4.66666666666667,"25-34","Europe"
4,3,5,0,0,0,-3,28,4,2,5,20,0,"Netherlands",0,4,"45-54","Europe"
5,5,5,-2,1,-2,-3,24,5,1,6,20,0,"Netherlands",-1,5,"55-64","Europe"
5,3,4,-2,1,-2,-2,8,5,1,7,20,1,"Netherlands",-1,4,"55-64","Europe"
4,4,4,0,2,-2,1,10,4,1,6,20,0,"Netherlands",0,4,"45-54","Europe"
4,3,5,-2,0,-2,1,13,7,2,4,20,1,"Netherlands",-1.33333333333333,4,"75-85","Europe"
3,2,4,-1,0,-2,-3,9,4,2,5,20,0,"Netherlands",-1,3,"45-54","Europe"
3,2,4,-2,1,-2,-3,36,4,2,3,20,0,"Netherlands",-1,3,"45-54","Europe"
2,3,3,0,1,0,0,3,2,1,6,22,0,"Poland",0.333333333333333,2.66666666666667,"25-34","Europe"
3,3,4,-1,0,-1,-3,5,3,1,5,4,0,"Brazil",-0.666666666666667,3.33333333333333,"35-44","South & Central America"
5,5,5,1,1,1,2,11,7,1,4,4,1,"Brazil",1,5,"75-85","South & Central America"
4,3,4,-2,-2,-2,-3,13,6,2,5,4,0,"Brazil",-2,3.66666666666667,"65-75","South & Central America"
5,5,4,0,1,-1,-3,6,4,2,2,4,1,"Brazil",0,4.66666666666667,"45-54","South & Central America"
5,4,5,-1,-1,0,-2,23,4,1,5,4,1,"Brazil",-0.666666666666667,4.66666666666667,"45-54","South & Central America"
5,2,3,2,2,2,-1,3,4,1,2,4,1,"Brazil",2,3.33333333333333,"45-54","South & Central America"
4,3,4,0,1,-1,-3,1,3,1,4,4,0,"Brazil",0,3.66666666666667,"35-44","South & Central America"
3,2,4,-1,1,-1,-3,2,2,1,2,4,0,"Brazil",-0.333333333333333,3,"25-34","South & Central America"
5,5,3,1,2,1,0,2,4,1,4,4,0,"Brazil",1.33333333333333,4.33333333333333,"45-54","South & Central America"
4,4,4,2,2,2,0,3,5,2,6,4,0,"Brazil",2,4,"55-64","South & Central America"
5,4,5,2,2,2,-3,10,4,2,2,4,1,"Brazil",2,4.66666666666667,"45-54","South & Central America"
5,4,5,2,2,2,3,1,3,2,4,4,0,"Brazil",2,4.66666666666667,"35-44","South & Central America"
5,5,5,0,0,-1,-3,13,6,2,3,4,0,"Brazil",-0.333333333333333,5,"65-75","South & Central America"
5,5,5,1,2,-1,-3,33,5,1,7,4,1,"Brazil",0.666666666666667,5,"55-64","South & Central America"
4,4,5,1,2,1,-3,50,5,2,3,4,NA,"Brazil",1.33333333333333,4.33333333333333,"55-64","South & Central America"
4,4,5,1,1,1,-2,14,6,2,5,24,0,"Romania",1,4.33333333333333,"65-75","Europe"
5,5,4,-2,-1,-2,-3,1,2,1,6,24,0,"Romania",-1.66666666666667,4.66666666666667,"25-34","Europe"
4,4,4,-2,-2,-2,-2,0,2,2,5,24,1,"Romania",-2,4,"25-34","Europe"
5,3,3,-1,1,-1,1,7,3,2,3,17,1,"Kazakhstan",-0.333333333333333,3.66666666666667,"35-44","Central and West Asia"
5,5,5,2,2,2,0,9,3,2,5,17,0,"Kazakhstan",2,5,"35-44","Central and West Asia"
4,2,4,0,1,-1,1,3,4,2,5,25,0,"Russia",0,3.33333333333333,"45-54","Europe"
5,5,5,-2,2,-2,-3,6,3,2,4,17,1,"Kazakhstan",-0.666666666666667,5,"35-44","Central and West Asia"
5,3,4,-1,0,-1,-3,1,3,2,7,25,0,"Russia",-0.666666666666667,4,"35-44","Europe"
4,2,2,0,1,0,-2,6,4,2,2,25,1,"Russia",0.333333333333333,2.66666666666667,"45-54","Europe"
4,3,4,1,2,0,-1,9,5,2,5,23,1,"Republic of Serbia",1,3.66666666666667,"55-64","Europe"
5,5,5,1,1,0,2,1,5,1,3,23,0,"Republic of Serbia",0.666666666666667,5,"55-64","Europe"
3,5,5,-2,-2,-1,-2,11,3,1,5,23,0,"Republic of Serbia",-1.66666666666667,4.33333333333333,"35-44","Europe"
4,4,4,1,1,1,-3,2,3,1,3,23,1,"Republic of Serbia",1,4,"35-44","Europe"
4,3,4,2,1,1,2,0,4,2,3,23,0,"Republic of Serbia",1.33333333333333,3.66666666666667,"45-54","Europe"
4,4,4,0,0,-2,-2,35,5,1,2,23,0,"Republic of Serbia",-0.666666666666667,4,"55-64","Europe"
5,5,4,-1,1,-1,-3,1,3,1,6,23,0,"Republic of Serbia",-0.333333333333333,4.66666666666667,"35-44","Europe"
5,5,5,0,2,-1,-3,23,5,2,6,29,1,"Turkey",0.333333333333333,5,"55-64","Central and West Asia"
5,5,5,1,1,1,-2,5,3,1,6,30,0,"Ukraine",1,5,"35-44","Europe"
